deviceName,department,location,last_ppm_done_date,description,manufacturer,manufacturingDate,model,serial,status,warrantyPeriod,warrantyEndDate,agent,countryOfOrigin,purchasingDate,installationDate,purchasingPrice,purchasingMethod,serviceContract,serviceContractCompany,serviceContractValue,service_period_in_years,patient_assigned,REP_maintainancehistory
Cardiac Science Powerheart AED G3 Plus Fully Automatic,ICU,,, the Cardiac Science PowerHeart G3 Plus AED is ideal for lay rescuers to use in public access defibrillation,PowerHeart,1/1/2023,G3,OUT-9390A-R,FF, 7 years, 1/8/2030,Health,Germany,1/2/2023,10/2/2023,700 $,Visa, With S.P , delta,150 $,2/12/2023,111,test 1
Medical Device A,Cardiology,,,Cardiac Monitor,ABC Company,5/4/2023,Model X123,123456,FF,2,18/11/2021,John Doe,USA,1/1/2023,1/2/2023,5000,Direct Purchase,N,NA,0,14/10/2022,,
Medical Device B,Radiology,,,X-ray Machine,XYZ Corporation,5/4/2023,Model Y789,987654,FF,3,18/9/2021,Jane Smith,Germany,10/3/2022,20/03/2022,15000,Leased,Y,ABC Services,2000,22/8/2024,,1795856 6/3/2023 3:29:14 PM
Medical Device C,Orthopedics,,,Surgical Power Tool,DEF Medical,5/4/2023,Model Z456,654321,FF,1,18/5/2023,Robert Johnson,Canada,5/5/2023,10/5/2023,8000,Direct Purchase,With S.P,XYZ Services,1000,17/8/2024,,"undefined 09/07/2023, 15:21:20"
Medical device D,General_Medicine,,,description text ,company_1,5/4/2023,12,12855AC,FF,24,5/19/2023,health,America,5/27/2023,5/11/2023,122000,Cash,Without S.P,shinza,1200,17/12/2024,," 09/07/2023, 20:23:16"
AED Device XYZ-200,Orthopedics,,,Portable defibrillator for emergency use,ABC Medical Technologies,6/1/2023,XYZ-200,AED987654321,NF,3 years,1/12/2021,Michael Johnson,Germany,6/15/2023,6/20/2023,6000 $,MasterCard,With S.P,ABC Service Solutions,$2500 ,8/8/2022,,Maintenance every 6 months
AED Device XYZ-300,Radiology,,,Portable defibrillator for emergency use,DEF Healthcare Solutions,5/10/2023,XYZ-300,AED456789123,PF,2 years,2/1/2021,Jane Doe,Canada,5/20/2023,5/25/2023,7000 $,Direct Purchase,Without S.P,N/A,0,4/3/2023,,No maintenance history
AED Device XYZ-400,Neurology,,,Portable defibrillator for emergency use,XYZ Medical Devices,4/5/2023,XYZ-400,AED987654321,NF,1 year,2/12/2021,Robert Johnson,USA,5/10/2023,5/15/2023,3500 $,Online Purchase,With S.P,XYZ Service Company,$1200 ,1/4/2023,,Regular maintenance every 3 months
AED Device XYZ-500,ICU,,,Portable defibrillator for emergency use,ABC Healthcare Solutions,2/10/2023,XYZ-500,AED456789123,FF,3 years,18/8/2021,John Smith,Germany,3/20/2023,3/25/2023,4500 $,Visa,Without S.P,N/A,0,5/5/2024,,No maintenance history
AED Device XYZ-700,Emergency,,,Portable defibrillator for emergency use,XYZ Healthcare Solutions,7/20/2023,XYZ-700,AED987654321,NF,1 year,5/5/2024,John Smith,USA,8/1/2023,8/5/2023,4000 $,Online Purchase,Without S.P,N/A,0,8/9/2023,,No maintenance history
AED Device XYZ-900,Cardiology,,,Portable defibrillator for emergency use,DEF Healthcare Solutions,9/20/2023,XYZ-900,AED987654321,NF,2 years,10/10/2024,Michael Johnson,Canada,10/5/2023,10/10/2023,7000 $,Direct Purchase,Without S.P,N/A,0,12/3/2023,,No maintenance history
AED Device XYZ-1100,Radiology,,,Portable defibrillator for emergency use,DEF Healthcare Solutions,11/20/2023,XYZ-1100,AED987654321,FF,2 years,2/5/2023,Michael Johnson,Germany,12/5/2023,12/10/2023,6000 $,Visa,Without S.P,N/A,0,8/9/2023,,No maintenance history
AED Device XYZ-1300,Emergency,,,Portable defibrillator for emergency use,DEF Healthcare Solutions,1/20/2024,XYZ-1300,AED987654321,PF,2 years,5/5/2024,Jane Doe,Germany,2/5/2024,5/5/2024,5000 $,Visa,Without S.P,N/A,0,20/5/2025,,No maintenance history
AED Device XYZ-1500,Emergency,,,Portable defibrillator for emergency use,DEF Healthcare Solutions,3/20/2024,XYZ-1500,AED987654321,NF,1 year,12/8/2025,Michael Johnson,USA,4/5/2024,5/5/2024,4000 $,Direct Purchase,Without S.P,N/A,0,7/7/2020,,No maintenance history
